subject,chain,generation,transmission_error,complexity,communicative_cost,expressivity
1,1,1,3.70945894719,445.655184124,5.33228227331,4
2,1,2,3.04331861333,93.3139598585,4.88961080605,4
3,1,3,0.332557200488,45.24194243,4.89355928689,4
4,1,4,2.9264556948,452.203372014,5.25654132692,4
5,1,5,3.4017130918,456.721706078,5.46967107524,4
6,1,6,3.38028217187,407.711848714,5.32942639936,4
7,1,7,3.14091996915,326.433732672,5.0483493661,4
8,1,8,2.89248034894,406.400815261,5.19226995739,4
9,1,9,3.76992737268,437.492286389,5.34783001763,4
10,1,10,3.65345881805,444.070221623,5.21362869625,4
11,2,1,3.5225894575,382.735169789,5.28160858187,4
12,2,2,3.02877455937,360.229262159,4.94468699004,4
13,2,3,1.94575431635,199.949847812,4.8489835795,4
14,2,4,2.03519672092,270.158175524,4.92692210865,4
15,2,5,1.31018364331,26.4870549278,4.92138166404,3
16,2,6,0.0,26.4870549278,4.92138166404,3
17,2,7,0.178967903015,48.0195500087,4.950752198,3
18,2,8,0.178967903015,26.4870549278,4.92138166404,3
19,2,9,0.0,26.4870549278,4.92138166404,3
20,2,10,0.0,26.4870549278,4.92138166404,3
21,3,1,3.76381803095,482.779668972,5.34677014164,4
22,3,2,2.19333647631,108.191103111,5.79627165417,3
23,3,3,0.847293202597,119.098594704,5.75097028408,3
24,3,4,0.542614488723,5.16992500144,6.02793457253,1
25,3,5,0.0,5.16992500144,6.02793457253,1
26,3,6,0.0,5.16992500144,6.02793457253,1
27,3,7,0.0,5.16992500144,6.02793457253,1
28,3,8,0.0,5.16992500144,6.02793457253,1
29,3,9,0.0,5.16992500144,6.02793457253,1
30,3,10,0.116115075305,38.5865906014,5.95954968432,2
31,4,1,3.66817463903,439.677303203,5.30864031285,4
32,4,2,3.15764572832,352.657753194,5.2815910752,4
33,4,3,2.87006804147,332.729073316,5.37155180003,3
34,4,4,2.90319195244,421.151835389,5.39800617684,3
35,4,5,2.40649279873,173.762000903,5.22653049945,3
36,4,6,2.29361298486,292.738339857,5.25337052471,3
37,4,7,2.35787324366,255.051612584,5.3741451809,3
38,4,8,1.41689128515,84.1911031108,5.58912926483,3
39,4,9,1.11922628777,108.742450894,5.84444014631,3
40,4,10,0.68776944828,72.9334678712,5.83355868846,2
41,5,1,3.84944317027,407.167528198,5.26924685637,4
42,5,2,3.56223063894,370.272463038,5.1658660986,4
43,5,3,2.78363321935,208.697708047,5.14591995721,4
44,5,4,3.61151270385,456.309934955,5.33299585264,4
45,5,5,3.47650765806,386.320132289,5.30402935893,4
46,5,6,3.37809098751,329.985080455,5.24454908453,4
47,5,7,3.27407289292,423.285586778,5.20353045707,4
48,5,8,3.68409118534,465.368828644,5.31230058117,4
49,5,9,3.39246193744,385.38349435,5.34002123725,4
50,5,10,3.05094484256,291.590533934,5.16128331502,4
51,6,1,3.09367639616,263.713390682,5.24064731458,4
52,6,2,3.5309558647,327.329728626,4.97209948783,4
53,6,3,2.53946236916,177.346963403,4.78604712165,4
54,6,4,1.84434142979,194.843284872,4.87192285557,4
55,6,5,2.48967083965,301.671817903,4.98327137062,4
56,6,6,2.44763186845,108.420522799,4.85433705473,4
57,6,7,1.15801039314,183.147291058,4.90436977602,4
58,6,8,1.37620714663,139.292867883,4.83431482105,4
59,6,9,0.805663173899,128.95301788,4.90605034259,4
60,6,10,1.05298414485,105.097993706,5.14844935693,4
61,7,1,3.70911828842,386.898067523,5.14669600243,4
62,7,2,3.57741171941,259.151148257,4.90001784682,4
63,7,3,2.22694776715,255.43690274,5.12311169184,4
64,7,4,1.83392615305,128.438444707,5.04183669099,4
65,7,5,1.4521336732,127.560700457,5.03692502501,4
66,7,6,2.38492505624,341.277862204,5.21408983576,4
67,7,7,2.73716352104,255.759431832,5.21127190257,4
68,7,8,2.76714014981,155.562929555,5.18388715177,4
69,7,9,1.45639474953,168.399430823,5.5410885025,3
70,7,10,1.16031434777,26.094737505,5.33383620206,3
71,8,1,3.71512351642,282.631776916,4.91092874413,4
72,8,2,1.63767597984,132.170612133,4.82363397369,4
73,8,3,0.550016816236,26.4870549278,4.92138166404,3
74,8,4,0.0,26.4870549278,4.92138166404,3
75,8,5,0.0,26.4870549278,4.92138166404,3
76,8,6,0.0,26.4870549278,4.92138166404,3
77,8,7,0.0,26.4870549278,4.92138166404,3
78,8,8,0.0,26.4870549278,4.92138166404,3
79,8,9,0.366849896644,113.168383034,4.98542854879,3
80,8,10,0.366849896644,26.4870549278,4.92138166404,3
81,9,1,3.63916364965,499.012355037,5.44000742662,4
82,9,2,3.52253743404,364.273064036,5.20578880399,4
83,9,3,3.39280218447,543.884700121,5.35267407788,4
84,9,4,3.41940008619,374.20207371,5.41701429999,4
85,9,5,2.67120958764,196.335137968,5.26311097544,4
86,9,6,1.78674472036,126.601342442,4.97892229447,4
87,9,7,0.908136407386,108.157488393,4.92266387204,4
88,9,8,0.758337546071,115.068847361,4.88225890641,4
89,9,9,0.355836456832,80.7517174343,4.94673437408,4
90,9,10,0.708636062215,69.196502277,4.79004854672,4
91,10,1,3.70515096201,419.015525105,5.26934919507,4
92,10,2,2.93725672414,266.354687977,5.04262869372,4
93,10,3,1.88108411994,153.555902289,4.90946437488,4
94,10,4,1.65538869026,165.562929555,4.96312660753,4
95,10,5,1.61632757428,212.319445158,4.96569792453,4
96,10,6,1.72762790246,186.617025076,4.8624792491,4
97,10,7,1.05865417388,81.1440348571,4.82878898443,4
98,10,8,1.64311293002,229.452595549,4.91093880688,4
99,10,9,1.45060956323,93.3139598585,4.80988202247,4
100,10,10,0.875450319323,118.530953114,4.8539176491,4
101,11,1,3.70300745613,509.948992976,5.34188007812,4
102,11,2,3.77749101058,482.739026988,5.375934337,4
103,11,3,3.65880077194,510.030276945,5.31917370294,4
104,11,4,3.80751377394,427.281719403,5.30152554282,4
105,11,5,3.62434739972,503.423525162,5.38152702988,4
106,11,6,3.45205437423,280.531039247,5.11158682235,4
107,11,7,2.64476809233,173.732253559,5.31325905924,4
108,11,8,1.87299536394,235.566185757,5.30084067625,4
109,11,9,1.74321093664,229.745377299,5.22887823221,4
110,11,10,1.83415560819,267.350820602,5.24677060322,4
111,12,1,3.71815770332,440.525300109,5.18623470256,4
112,12,2,3.48149351533,477.083675159,5.44813953716,4
113,12,3,3.35668586436,489.164959128,5.40025621327,4
114,12,4,3.38113958123,314.123630012,5.23274493473,4
115,12,5,2.81374123853,303.982851357,5.2197585595,4
116,12,6,3.46182608227,423.244944793,5.26907227486,4
117,12,7,3.45858187136,478.187679205,5.37065584422,4
118,12,8,3.53426024664,360.932613035,5.35085964938,4
119,12,9,3.4416108714,357.165900098,5.16934666997,4
120,12,10,3.08235020087,395.875347447,5.12606939039,4
